input,optimizations,part,target_clock,estim_clock,lat_worst,lat_avg,lat_best,FF,LUT,BRAM,DSP
svm_partitioned_predict,/,xc7z020-clg484-1,10,8.232,406857,406857,406857,3790,6467,68,47
svm_predict,/,xc7z020-clg484-1,10,8.232,406849,406849,406849,3473,5924,68,45
svm_predict,expf,xc7z020-clg484-1,10,11.759,11363,11363,11363,6492,8112,20,55
svm_predict,Pipeline 2 on inner loop,xc7z020-clg484-1,10,13.434,157289,157289,157289,3485,5900,68,46
svm_predict,Pipeline 2 on inner loop + expf,xc7z020-clg484-1,10,7.684,388129,388129,388129,972,2044,68,12
svm_predict,Pipeline 2 on outer loop,xc7z020-clg484-1,10,8.442,11352,11352,11352,4197,4274,20,22
svm_predict,Pipeline 2 on outer loop + expf,xc7z020-clg484-1,10,9.634,112355,112355,112355,1286,2127,68,13
svm_predict,Pipeline 4 on outer loop,xc7z020-clg484-1,10,13.434,11357,11357,11357,6235,8056,20,55
euclidean_dist,/,xc7z020-clg484-1,10,9.514,85004,85004,85004,21071,11280,67,75
euclidean_dist,powf,xc7z020-clg484-1,10,9.386,32780,32780,32780,3800,3933,13,16
euclidean_dist,sqrtf,xc7z020-clg484-1,10,9.514,85004,85004,85004,21071,11280,67,75
euclidean_dist,sqrtf + powf,xc7z020-clg484-1,10,9.386,32780,32780,32780,3800,3933,13,16
euclidean_dist,sqrt -> powf,xc7z020-clg484-1,10.00,9.386,37914,37914,37914,4415,5270,13,19
